Image #,RobotX,RobotY,RobotZ,AmbX,AmbY,AmbZ,Distance,omega
171,-2.072662,1.099062,0.039995,3.725039,-0.48635,0,6.010696107,-0.077712086
172,-2.071488,1.100594,0.04,3.725039,-0.48635,0,6.009968096,-0.077721501
173,-2.070758,1.101522,0.04,-0.835901,2.85836,0,2.147778287,0.217515198
174,-2.069302,1.103316,0.039995,1.536615,-0.034578,0,3.781407115,-0.123269917
175,-0.759028,2.568585,0.039995,-0.759028,2.568585,0,0.039995,0.28127259
176,-5.854034,-5.721472,0.04,3.33836,-7.583037,0,9.37907947,-0.04473134
177,-4.776443,-5.445505,0.04,-0.432874,-6.618286,0,4.499289603,-0.104037418
178,-7.78921,-6.216121,0.039999,5.591308,0.334365,0,14.89794377,0.013439493
179,-7.274146,-1.611395,0.039995,0.327952,-0.44325,0,7.691427458,0.045609738
180,-7.395117,-7.850474,0.039995,4.642932,0.133012,0,14.44480087,0.022113903
181,-9.380564,-0.075028,0.039995,4.559536,-3.730343,0,14.41143002,-0.031787944
182,-9.192395,-0.801108,0.04,2.267758,8.802369,0,14.95203923,0.027754343
183,-5.086938,-2.540883,0.04,-4.613915,-3.4578,0,1.032515154,0.456515106
184,-5.091272,-2.540597,0.04,-4.173326,-3.907538,0,1.647043581,0.28127259
185,-5.091841,-2.539998,0.039999,-3.857965,-3.748492,0,1.727572763,0.272712808
186,-5.096025,-2.540508,0.04,-6.288237,-3.870147,0,1.786311653,-0.261550409
187,-5.095846,-2.539613,0.039999,-5.658935,-3.877094,0,1.451731575,-0.240819975
188,-5.095438,-2.538758,0.04,-4.465967,-3.890261,0,1.491440277,0.301765648
189,4.057192,-0.011715,0.039995,5.222496,-1.57381,0,1.949275199,0.241681675
190,3.670941,2.375824,0.04,2.260274,-0.596799,0,3.290603119,-0.12577224
191,3.671374,2.37442,0.04,5.1563,-1.167555,0,3.840858254,0.094405245
192,6.417205,2.364548,0.04,5.525574,2.137436,0,0.920969978,-0.508722429
193,5.617701,3.053835,0.04,7.001816,0.924154,0,2.540258943,0.179962107
194,5.6185,3.052745,0.039995,4.444284,0.826491,0,2.517258367,-0.183211187
195,5.619061,3.051914,0.04,6.576435,1.720275,0,1.64055704,0.26591996
196,5.502494,4.275035,0.04,5.090083,-3.51687,0,7.802913966,-0.015209795
197,-2.26802,3.65889,0.039991,2.393513,-3.149839,0,8.251683452,0.056005377
198,-2.267687,3.658334,0.039995,-4.2934,-0.326017,0,4.469917857,-0.104721099
199,-2.267084,3.657461,0.039995,-4.2934,-0.326017,0,4.469413061,-0.104732928
200,-2.123923,7.27033,0.04,0.636958,-1.686611,0,9.372878745,-0.049729856
