epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3338.38,0.81905,0.51789,0.01095,0.96132,0.87361,0.95161,0.81524,0.65592,0.4125,0.01266,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3437.29,0.80572,0.51226,0.01082,0.95989,0.86696,0.94597,0.811,0.6384,0.47018,0.01237,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3539.28,0.79638,0.51951,0.0108,0.95464,0.88658,0.95007,0.80348,0.66719,0.43093,0.01275,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3644.03,0.80437,0.49935,0.01068,0.95397,0.86696,0.94865,0.81108,0.64623,0.4756,0.01262,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3747.99,0.79427,0.49628,0.01066,0.95724,0.8714,0.94306,0.81091,0.63926,0.45647,0.01236,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3850.81,0.78995,0.4986,0.0106,0.94151,0.90466,0.95064,0.82437,0.62478,0.42558,0.01217,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3952.18,0.77527,0.47995,0.0103,0.97462,0.87583,0.95828,0.83135,0.63199,0.4308,0.0122,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4050.41,0.77844,0.48191,0.01034,0.95224,0.8714,0.94887,0.82565,0.60305,0.44766,0.01171,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4149.32,0.76771,0.46746,0.01023,0.96071,0.87361,0.95645,0.82629,0.62025,0.42277,0.01183,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4247.91,0.75453,0.46314,0.00999,0.95214,0.89357,0.95639,0.83274,0.61229,0.40273,0.01201,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4346.58,0.75834,0.45629,0.01009,0.95227,0.88466,0.94604,0.82564,0.63339,0.4476,0.01259,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4445.61,0.75233,0.46511,0.01,0.95525,0.89932,0.95309,0.82785,0.62386,0.43134,0.01208,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4543.98,0.74436,0.45957,0.01004,0.92566,0.91113,0.95228,0.82631,0.61532,0.41139,0.01171,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4642.35,0.75815,0.46735,0.00997,0.95325,0.898,0.9515,0.82517,0.62123,0.39019,0.01184,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4740.94,0.73559,0.44545,0.00968,0.96629,0.88977,0.94827,0.81997,0.61716,0.44865,0.01174,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
