epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,488.981,0.83564,0.85392,0.00917,0.80633,0.61752,0.7393,0.50382,1.096,1.13197,0.01671,0.000440067,0.000440067,0.000440067
63,496.578,0.83375,0.88691,0.00888,0.76557,0.65969,0.72992,0.49713,1.13061,1.15236,0.01644,0.000429068,0.000429068,0.000429068
64,504.309,0.83416,0.81124,0.00923,0.76793,0.67595,0.74884,0.53184,1.10244,1.02664,0.0162,0.000418069,0.000418069,0.000418069
65,512.141,0.84325,0.78546,0.0092,0.64228,0.71966,0.7352,0.52431,1.0974,1.04703,0.01627,0.00040707,0.00040707,0.00040707
66,519.474,0.78358,0.80198,0.00824,0.75138,0.69137,0.74543,0.52731,1.08259,1.02146,0.01617,0.000396071,0.000396071,0.000396071
67,526.998,0.77613,0.73285,0.0078,0.68565,0.69517,0.70918,0.501,1.11339,1.04418,0.01639,0.000385073,0.000385073,0.000385073
68,534.625,0.81002,0.79058,0.00817,0.72795,0.63384,0.72188,0.51744,1.09557,1.10768,0.01584,0.000374074,0.000374074,0.000374074
69,542.413,0.81672,0.76544,0.00903,0.70095,0.7032,0.73819,0.53247,1.09523,1.04555,0.0159,0.000363075,0.000363075,0.000363075
70,550.083,0.79812,0.76057,0.00871,0.70479,0.60074,0.71129,0.52339,1.08233,1.07699,0.01592,0.000352076,0.000352076,0.000352076
71,557.878,0.80913,0.74221,0.00822,0.67421,0.668,0.70725,0.52528,1.12331,1.14294,0.01657,0.000341077,0.000341077,0.000341077
72,565.879,0.77063,0.70562,0.00839,0.72328,0.69758,0.73026,0.5306,1.0699,1.17113,0.01514,0.000330078,0.000330078,0.000330078
73,573.419,0.80305,0.75381,0.00866,0.74095,0.62749,0.71294,0.51842,1.05377,1.12656,0.01531,0.000319079,0.000319079,0.000319079
74,581.128,0.72559,0.66981,0.0077,0.71669,0.67719,0.72615,0.51445,1.09883,1.07943,0.01656,0.00030808,0.00030808,0.00030808
75,588.827,0.79799,0.72523,0.00857,0.79417,0.6393,0.74755,0.535,1.10831,1.00021,0.01734,0.000297081,0.000297081,0.000297081
76,596.551,0.7756,0.70204,0.00826,0.79292,0.70726,0.75504,0.53891,1.09972,0.9865,0.01664,0.000286083,0.000286083,0.000286083
77,604.516,0.75977,0.73746,0.00807,0.69966,0.75241,0.74984,0.5374,1.0797,1.00401,0.0166,0.000275084,0.000275084,0.000275084
78,612.275,0.74605,0.70933,0.00792,0.70732,0.74174,0.74878,0.54654,1.03598,0.98435,0.01562,0.000264085,0.000264085,0.000264085
79,619.858,0.71772,0.68763,0.00779,0.75214,0.68538,0.74693,0.54674,1.03531,1.02229,0.01573,0.000253086,0.000253086,0.000253086
80,627.727,0.71603,0.63823,0.00773,0.75321,0.70783,0.76397,0.55012,1.04328,0.9869,0.01568,0.000242087,0.000242087,0.000242087
