epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,20270.1,0.90873,0.47737,0.00874,0.93336,0.91459,0.95841,0.68507,1.04482,0.43925,0.01257,0.0011882,0.0011882,0.0011882
43,20315.2,0.91028,0.45784,0.0087,0.95929,0.91103,0.96572,0.68462,1.06629,0.4187,0.01307,0.0011684,0.0011684,0.0011684
44,20361.5,0.9078,0.46326,0.00877,0.97353,0.91993,0.96578,0.69379,1.04089,0.41367,0.01278,0.0011486,0.0011486,0.0011486
45,20409.3,0.88483,0.44511,0.00854,0.95778,0.91103,0.96363,0.69365,1.07613,0.43984,0.01326,0.0011288,0.0011288,0.0011288
46,20455.6,0.88121,0.43995,0.00857,0.95195,0.91647,0.96653,0.70054,1.01658,0.4148,0.01212,0.001109,0.001109,0.001109
47,20503,0.87118,0.43117,0.00841,0.94695,0.92171,0.966,0.68635,1.04567,0.40043,0.01287,0.0010892,0.0010892,0.0010892
48,20548.5,0.87367,0.42402,0.00844,0.96079,0.92527,0.97415,0.70279,1.04463,0.43052,0.0131,0.0010694,0.0010694,0.0010694
49,20594.7,0.8668,0.40859,0.00813,0.97174,0.91761,0.97222,0.70766,1.0353,0.41334,0.01303,0.0010496,0.0010496,0.0010496
50,20641.3,0.85976,0.42291,0.00828,0.94283,0.9395,0.96895,0.70043,1.05136,0.39968,0.01302,0.0010298,0.0010298,0.0010298
51,20688.7,0.85236,0.41627,0.00806,0.96651,0.92428,0.97274,0.70252,1.04461,0.41732,0.01292,0.00101,0.00101,0.00101
52,20736.3,0.83775,0.41802,0.00806,0.96099,0.92052,0.96648,0.69694,1.03851,0.43457,0.01265,0.0009902,0.0009902,0.0009902
53,20784.1,0.84112,0.42028,0.00814,0.95716,0.93416,0.97109,0.69627,1.01396,0.39927,0.01213,0.0009704,0.0009704,0.0009704
54,20832.5,0.83304,0.40426,0.00794,0.95938,0.92455,0.97238,0.69446,1.04149,0.43161,0.01263,0.0009506,0.0009506,0.0009506
55,20880.6,0.83398,0.39544,0.00799,0.9771,0.91815,0.9743,0.70911,1.01675,0.40215,0.01249,0.0009308,0.0009308,0.0009308
56,20928.5,0.81402,0.40064,0.00794,0.96308,0.94128,0.97804,0.70153,1.01997,0.36743,0.01267,0.000911,0.000911,0.000911
57,20976.4,0.80904,0.40804,0.00775,0.96673,0.93067,0.97595,0.70113,1.02589,0.39294,0.01242,0.0008912,0.0008912,0.0008912
58,21024.3,0.80312,0.38836,0.00766,0.95541,0.92527,0.96833,0.70558,1.02652,0.39414,0.01247,0.0008714,0.0008714,0.0008714
59,21072.4,0.79612,0.38738,0.00744,0.95955,0.92867,0.97071,0.70889,1.02145,0.39953,0.01268,0.0008516,0.0008516,0.0008516
60,21121,0.79956,0.3802,0.00766,0.97531,0.91372,0.96483,0.68699,1.04183,0.39769,0.01262,0.0008318,0.0008318,0.0008318
61,21169.5,0.79698,0.38514,0.00757,0.9721,0.92883,0.96986,0.7087,1.03927,0.36792,0.01285,0.000812,0.000812,0.000812
62,21219.1,0.77644,0.37261,0.00744,0.97352,0.92349,0.97206,0.71151,1.01287,0.38685,0.01231,0.0007922,0.0007922,0.0007922
63,21268,0.77567,0.3746,0.00742,0.97005,0.9306,0.96921,0.70375,0.99919,0.43473,0.01202,0.0007724,0.0007724,0.0007724
64,21314.7,0.77614,0.38605,0.00728,0.98103,0.92016,0.97146,0.69767,1.00468,0.38971,0.01212,0.0007526,0.0007526,0.0007526
65,21351.4,0.75099,0.35478,0.00714,0.97175,0.91637,0.9701,0.70486,0.99033,0.38292,0.01188,0.0007328,0.0007328,0.0007328
66,21387.8,0.76043,0.35545,0.00706,0.97704,0.90875,0.96345,0.70061,1.02619,0.39536,0.01258,0.000713,0.000713,0.000713
67,21424,0.75552,0.35367,0.00706,0.96798,0.91437,0.9648,0.69936,1.03843,0.38961,0.01301,0.0006932,0.0006932,0.0006932
68,21460.7,0.73699,0.34926,0.00689,0.95976,0.92527,0.96684,0.71058,1.02751,0.40358,0.01266,0.0006734,0.0006734,0.0006734
69,21498.6,0.73553,0.3497,0.0069,0.97377,0.92465,0.97407,0.71238,1.02019,0.38205,0.01247,0.0006536,0.0006536,0.0006536
70,21540.1,0.73535,0.35447,0.00684,0.97365,0.92041,0.96567,0.69837,1.03429,0.41386,0.01247,0.0006338,0.0006338,0.0006338
71,21584.5,0.7224,0.34472,0.00679,0.97395,0.93133,0.97059,0.71237,1.01065,0.39891,0.01218,0.000614,0.000614,0.000614
72,21630.9,0.71511,0.33872,0.00674,0.96823,0.92705,0.9666,0.70991,1.00093,0.40433,0.01203,0.0005942,0.0005942,0.0005942
73,21677.8,0.70779,0.34563,0.00664,0.97566,0.92709,0.96899,0.70545,1.00858,0.41181,0.01212,0.0005744,0.0005744,0.0005744
74,21725.3,0.70757,0.33866,0.00652,0.96442,0.91628,0.96282,0.6999,1.02641,0.42122,0.01243,0.0005546,0.0005546,0.0005546
75,21773.9,0.69309,0.32664,0.00646,0.9709,0.93416,0.96881,0.70302,1.01331,0.40124,0.01202,0.0005348,0.0005348,0.0005348
76,21823.7,0.69497,0.33865,0.00653,0.9597,0.93223,0.9687,0.70183,1.02763,0.40217,0.01255,0.000515,0.000515,0.000515
77,21874.7,0.69462,0.33735,0.00654,0.97734,0.9211,0.97026,0.70588,1.03592,0.41938,0.01273,0.0004952,0.0004952,0.0004952
78,21930.3,0.68861,0.32467,0.00634,0.96706,0.92883,0.97002,0.70585,1.01213,0.40546,0.01215,0.0004754,0.0004754,0.0004754
79,21988.1,0.68212,0.31949,0.00638,0.9597,0.93224,0.9715,0.71179,1.01239,0.42877,0.01209,0.0004556,0.0004556,0.0004556
80,22048.7,0.68157,0.32723,0.00635,0.98094,0.91572,0.97182,0.70619,1.01487,0.42068,0.01229,0.0004358,0.0004358,0.0004358
81,22113.3,0.6752,0.31743,0.00634,0.9651,0.93502,0.9675,0.70671,1.01886,0.41302,0.01227,0.000416,0.000416,0.000416
82,22179.4,0.66799,0.31203,0.00621,0.98129,0.92349,0.97113,0.7112,1.01321,0.38984,0.01205,0.0003962,0.0003962,0.0003962
83,22248.1,0.67969,0.32002,0.00618,0.96995,0.91637,0.96736,0.71669,0.99945,0.42976,0.01205,0.0003764,0.0003764,0.0003764
84,22309.8,0.66381,0.31107,0.00617,0.96847,0.92928,0.96502,0.69938,1.02528,0.42603,0.01236,0.0003566,0.0003566,0.0003566
85,22356.7,0.64849,0.30297,0.00608,0.96962,0.92171,0.96409,0.70438,1.01464,0.43014,0.01223,0.0003368,0.0003368,0.0003368
86,22402.9,0.65175,0.31217,0.00598,0.9683,0.92391,0.96628,0.7053,1.00725,0.42825,0.01197,0.000317,0.000317,0.000317
87,22450,0.64647,0.30253,0.00586,0.95791,0.93132,0.96795,0.71318,1.00723,0.44029,0.01212,0.0002972,0.0002972,0.0002972
88,22496.8,0.63262,0.29573,0.00594,0.98085,0.91281,0.96501,0.70838,1.01556,0.44712,0.0122,0.0002774,0.0002774,0.0002774
89,22543.6,0.62967,0.29065,0.00587,0.96637,0.9203,0.96717,0.71131,1.0069,0.43353,0.01205,0.0002576,0.0002576,0.0002576
90,22590.3,0.63646,0.3013,0.00598,0.975,0.91815,0.96628,0.70945,1.00322,0.45111,0.01205,0.0002378,0.0002378,0.0002378
91,22638.2,0.54434,0.20033,0.00663,0.95931,0.92289,0.96038,0.70092,1.01385,0.44794,0.01228,0.000218,0.000218,0.000218
92,22684.2,0.52025,0.1868,0.00635,0.9803,0.91459,0.96122,0.70705,1.00657,0.44416,0.01211,0.0001982,0.0001982,0.0001982
93,22730.7,0.51544,0.18667,0.00635,0.97373,0.92345,0.96357,0.7105,1.01086,0.43793,0.01222,0.0001784,0.0001784,0.0001784
94,22777,0.51303,0.18952,0.00625,0.98116,0.91459,0.9661,0.71458,1.01107,0.44184,0.01227,0.0001586,0.0001586,0.0001586
95,22821.9,0.50662,0.17987,0.00618,0.97918,0.9204,0.96692,0.70989,1.01166,0.4386,0.01228,0.0001388,0.0001388,0.0001388
96,22868.2,0.50411,0.18196,0.00612,0.97725,0.91702,0.96661,0.71147,1.00773,0.44872,0.01225,0.000119,0.000119,0.000119
97,22914.2,0.50153,0.1837,0.00607,0.97573,0.92983,0.96632,0.71159,1.00884,0.44335,0.01225,9.92e-05,9.92e-05,9.92e-05
98,22959.8,0.49424,0.18724,0.00598,0.97444,0.92705,0.96626,0.71459,1.0039,0.44517,0.01214,7.94e-05,7.94e-05,7.94e-05
99,23005.1,0.48869,0.18029,0.00596,0.97797,0.92171,0.96581,0.71233,1.00544,0.45421,0.01213,5.96e-05,5.96e-05,5.96e-05
100,23052.2,0.49355,0.18247,0.00599,0.97653,0.92705,0.96672,0.71182,1.00481,0.45342,0.01213,3.98e-05,3.98e-05,3.98e-05
